time_taken,latency,attempts,hint_used,correct,question_level,mastery
5.0,5.62,2,0,1,8,0.439
65.16,3.66,2,0,0,49,0.791
44.03,5.42,2,0,1,51,0.43
89.02,5.57,5,1,1,66,0.178
66.13,5.82,3,0,1,44,0.62
76.88,7.25,3,1,1,41,0.192
19.16,1.25,2,1,1,20,0.732
50.65,6.03,4,1,0,57,0.416
102.88,8.19,4,1,1,60,0.506
44.32,2.42,3,1,1,16,0.332
78.22,3.18,3,0,0,60,0.439
86.45,5.35,4,1,0,77,0.168
72.44,6.96,3,1,1,68,0.563
38.14,6.97,3,1,1,28,0.274
54.8,7.87,4,1,0,51,0.148
42.79,9.28,5,1,1,28,0.197
65.95,4.11,3,1,1,31,0.423
48.91,0.87,3,1,0,52,0.366
55.77,3.46,3,1,0,50,0.343
69.97,4.45,3,1,0,68,0.205
89.59,3.55,3,1,0,60,0.615
54.74,2.7,4,0,0,22,0.302
33.91,5.02,2,0,1,37,0.579
34.61,5.15,3,0,0,19,0.258
129.14,7.36,4,1,0,98,0.793
42.99,6.69,4,1,1,35,0.656
87.75,4.95,4,1,0,67,0.21
66.89,7.03,2,0,1,57,0.745
21.73,2.89,2,0,1,0,0.419
51.56,6.21,2,0,0,31,0.483
67.12,5.17,5,1,1,60,0.32
45.3,4.43,1,0,1,22,0.648
116.91,9.59,3,1,1,99,0.621
68.21,5.91,3,1,1,72,0.641
60.13,4.22,3,1,0,50,0.521
31.34,5.82,2,0,1,17,0.175
50.23,3.13,2,0,1,32,0.413
72.29,2.53,2,1,0,62,0.712
76.19,6.56,5,1,0,67,0.435
111.98,6.82,5,1,0,95,0.335
16.77,2.75,1,0,1,1,0.616
65.8,2.2,3,0,0,26,0.532
48.4,2.48,3,0,0,58,0.314
67.98,8.03,4,1,1,28,0.17
5.16,8.46,1,0,1,5,0.755
33.19,4.49,2,0,1,12,0.323
63.93,4.79,3,1,1,88,0.576
17.0,0.3,2,0,0,1,0.338
64.63,7.05,4,1,0,62,0.41
98.25,5.34,6,1,0,88,0.578
39.39,9.57,4,1,1,37,0.486
43.69,4.86,2,0,1,22,0.729
87.15,5.72,4,0,1,58,0.239
45.88,4.66,4,1,1,30,0.379
98.4,8.79,5,1,0,100,0.22
150.31,9.6,4,1,1,94,0.236
43.17,2.0,2,0,0,27,0.24
53.54,7.0,4,0,0,29,0.452
34.63,5.56,3,0,1,34,0.367
86.22,8.57,4,1,0,77,0.161
5.0,2.74,4,0,1,5,0.447
40.59,4.69,1,0,1,36,0.533
155.35,8.31,5,1,0,99,0.079
60.04,2.54,3,0,0,33,0.042
17.26,2.96,2,0,1,4,0.238
37.55,2.36,1,0,0,29,0.491
58.03,0.43,3,0,1,39,0.3
5.0,0.3,3,0,1,7,0.571
5.0,5.35,1,0,1,6,0.904
101.91,6.33,4,1,1,73,0.328
27.18,5.4,3,0,1,22,0.54
122.48,8.52,4,1,0,85,0.477
84.1,4.07,5,1,0,61,0.426
96.9,8.98,4,1,0,92,0.24
52.66,6.56,4,0,0,33,0.098
128.56,8.5,4,1,1,95,0.315
67.91,8.06,4,1,1,69,0.621
14.32,2.58,2,0,1,4,0.286
142.65,7.4,5,1,0,85,0.03
61.75,4.08,4,1,1,57,0.738
50.29,3.41,3,1,1,54,0.458
8.79,2.05,2,0,1,11,0.339
19.68,2.72,3,0,1,18,0.363
28.19,5.07,3,0,1,22,0.243
109.4,9.04,4,1,0,86,0.456
71.88,8.36,5,1,1,84,0.481
41.75,2.16,3,1,1,34,0.563
9.42,1.67,2,0,1,13,0.586
43.28,1.09,5,1,1,17,0.166
67.62,7.07,5,1,1,64,0.728
7.46,3.08,2,0,1,16,0.847
35.08,3.15,3,0,1,31,0.648
25.66,3.52,5,1,1,13,0.287
39.97,5.86,4,1,0,46,0.577
93.32,5.22,3,0,0,50,0.559
30.49,2.78,2,1,1,20,0.702
32.43,2.76,3,0,1,45,0.781
42.76,10.35,2,1,1,61,0.847
117.32,5.09,5,1,0,88,0.46
66.39,4.41,3,1,1,57,0.607
69.35,5.15,4,1,0,68,0.128
113.71,11.69,4,0,0,96,0.484
158.26,5.1,6,1,1,84,0.397
94.52,9.6,4,0,1,71,0.122
77.32,7.26,4,0,1,50,0.275
71.45,2.44,4,1,0,68,0.376
5.0,0.3,2,0,0,2,0.574
77.44,5.03,3,1,1,43,0.58
18.22,1.2,2,1,0,27,0.29
92.11,3.44,4,0,0,77,0.571
38.94,5.07,4,0,1,41,0.315
142.9,7.09,4,1,0,95,0.581
55.47,6.34,3,0,0,44,0.508
74.66,6.12,5,1,1,47,0.066
43.2,3.15,3,1,1,35,0.777
50.88,8.47,4,1,1,91,0.587
71.9,5.13,4,0,1,74,0.38
68.71,8.35,4,1,0,78,0.254
32.09,2.71,2,1,1,24,0.22
48.93,3.2,1,0,1,30,0.325
46.55,4.28,3,0,0,66,0.503
72.51,5.24,5,1,1,80,0.505
79.37,7.02,7,1,0,84,0.224
26.28,5.21,3,0,1,16,0.397
57.04,2.16,3,1,1,67,0.233
44.19,4.85,4,1,0,43,0.524
33.72,2.69,3,1,1,13,0.352
5.0,3.15,2,0,1,2,0.82
5.0,0.3,1,0,1,1,0.558
131.0,6.96,7,1,0,94,0.176
81.54,10.33,3,1,1,72,0.408
77.41,1.79,4,1,0,67,0.555
59.36,6.24,3,0,1,89,0.341
72.18,5.5,3,0,0,63,0.359
101.2,5.16,6,1,1,88,0.501
120.03,9.54,5,1,0,100,0.471
33.92,1.9,2,0,0,15,0.293
83.14,5.26,5,1,0,79,0.213
123.27,10.14,4,1,0,79,0.849
35.74,1.88,4,1,1,23,0.663
44.11,5.6,3,1,1,26,0.623
45.23,3.49,3,0,1,41,0.896
133.3,7.43,7,1,0,96,0.331
36.98,3.23,2,0,1,10,0.535
27.38,2.5,4,1,1,36,0.807
65.49,10.69,4,1,1,71,0.385
55.92,6.78,3,0,1,30,0.457
44.83,7.99,5,1,0,61,0.055
73.97,3.57,5,0,0,72,0.581
71.27,4.35,4,1,1,78,0.879
5.0,1.06,2,0,1,1,0.751
36.69,3.41,3,0,1,11,0.152
86.49,5.56,4,1,0,78,0.162
106.42,5.21,1,0,0,65,0.36
97.02,3.21,4,1,1,96,0.374
90.75,3.36,3,1,1,48,0.473
54.28,1.97,3,1,1,38,0.534
96.75,11.5,5,1,1,95,0.587
44.78,4.37,3,0,1,54,0.54
24.88,3.61,1,0,1,5,0.417
17.14,4.87,3,1,0,6,0.165
82.7,5.59,2,1,1,49,0.2
36.77,5.96,3,0,1,6,0.233
21.96,4.47,2,0,0,17,0.516
141.86,5.05,5,1,0,95,0.488
93.73,6.77,5,1,0,77,0.262
101.24,3.86,6,1,0,81,0.031
72.25,1.99,3,0,1,47,0.176
41.12,1.64,4,1,1,34,0.606
70.64,2.86,3,1,0,55,0.109
56.23,7.93,4,1,1,35,0.236
72.64,4.1,3,0,1,48,0.409
22.72,3.78,2,0,0,9,0.094
47.56,6.11,4,0,0,40,0.388
90.79,4.58,2,0,1,51,0.449
120.44,9.58,4,1,1,89,0.431
44.96,3.76,3,1,1,52,0.512
55.41,3.13,4,1,1,38,0.145
52.51,7.67,4,1,1,56,0.445
90.83,10.66,5,1,0,91,0.195
61.66,7.63,6,0,1,52,0.503
84.41,3.34,4,1,0,54,0.313
59.88,3.71,3,1,0,42,0.435
94.97,6.11,6,1,0,93,0.091
42.28,2.65,2,1,1,16,0.188
35.84,7.4,4,0,1,11,0.126
95.42,10.92,6,1,1,93,0.254
80.81,5.55,2,0,1,51,0.769
59.17,9.56,6,1,1,89,0.247
56.57,5.83,4,1,0,55,0.473
80.16,2.46,3,1,1,54,0.398
56.88,10.95,5,1,0,76,0.458
52.52,5.32,3,1,0,49,0.104
25.0,3.71,3,1,1,25,0.338
17.52,2.3,3,0,1,11,0.666
121.89,6.4,5,1,1,88,0.273
43.2,2.55,3,1,0,37,0.228
116.04,8.87,6,0,0,96,0.3
58.12,5.45,3,0,1,38,0.425
29.42,3.92,3,0,1,11,0.608
86.79,3.92,4,1,0,93,0.473
9.74,6.8,2,0,1,4,0.445
5.0,4.52,2,0,1,1,0.553
57.67,3.5,4,0,1,38,0.721
50.25,5.84,4,1,1,28,0.541
116.77,8.7,6,1,0,83,0.164
60.37,8.19,3,1,1,67,0.446
43.02,4.43,5,1,1,25,0.276
74.03,4.34,3,1,1,51,0.252
24.38,2.72,3,1,1,22,0.688
59.22,0.36,2,1,0,71,0.569
102.36,5.62,4,1,0,82,0.265
127.15,2.84,3,1,0,67,0.344
5.0,1.35,2,0,1,2,0.57
55.19,3.7,2,1,1,43,0.5
114.01,4.11,5,1,0,97,0.687
27.44,4.45,2,0,1,13,0.293
36.82,8.5,4,1,1,18,0.395
16.46,1.11,3,1,1,1,0.529
99.9,8.99,5,1,0,88,0.12
48.46,5.09,3,1,1,56,0.879
28.78,3.43,3,1,0,6,0.232
74.06,5.14,3,0,0,38,0.327
93.14,7.5,4,1,1,60,0.118
34.84,4.06,1,0,1,22,0.766
5.0,0.35,2,0,1,6,0.828
28.04,6.92,2,0,0,13,0.335
68.55,8.26,5,1,0,89,0.396
97.77,9.18,5,1,0,67,0.433
69.16,3.43,4,1,1,21,0.15
77.62,4.47,2,1,1,22,0.601
62.31,4.53,5,1,1,84,0.595
137.36,9.28,3,0,0,79,0.559
66.24,7.09,2,0,1,36,0.323
104.94,5.85,4,1,1,93,0.349
131.02,4.22,3,1,0,73,0.166
42.21,4.48,2,1,1,50,0.408
20.95,4.67,3,0,0,9,0.383
105.85,5.11,5,1,1,100,0.419
81.49,9.98,3,1,0,63,0.148
43.11,6.39,4,1,0,46,0.291
65.64,6.6,4,1,0,48,0.135
21.57,1.04,2,0,1,24,0.61
